city_ascii_wc,parameter,value_mean_mean,value_median_median,value_std_mean,value_min_min,value_max_max,value_count_sum,annee_debut,annee_fin,nb_annees,inclut_covid,population_wc_first,lat_wc_first,lon_wc_first,country_iso3_wc_first,country_iso2_wc_first,country_name_first,region_first,income_level_first,acces_eau_potable_pct_mean,agriculture_pct_pib_mean,consommation_privee_mean,croissance_pib_mean,croissance_urbaine_mean,densite_population_mean,eau_douce_km3_mean,electricite_charbon_pct_mean,electricite_par_habitant_mean,energie_par_habitant_mean,energie_renouvelable_pct_mean,esperance_vie_mean,foret_pct_mean,indice_gini_mean,industrie_pct_pib_mean,passagers_aeriens_mean,pertes_electricite_pct_mean,pib_par_habitant_mean,pib_total_mean,pop_urbaine_pct_mean,population_totale_mean,scolarisation_secondaire_pct_mean,services_pct_pib_mean,superficie_km2_mean,voies_ferrees_km_mean,intensite_energetique_mean,ratio_charbon_renouvelables_mean,secteur_secondaire_pct_mean,niveau_developpement_first,niveau_urbanisation_first,mix_energetique_first,taille_ville_first,periode,robustesse,controle_covid,mesures_par_jour,qualite_donnees,coeff_variation
Helsinki,no2,15.447779636718305,10.951795,13.410186462484166,0.0,142.6702,36880,2019,2023,5,1,1360075.0,60.1708,24.9375,FIN,FI,Finland,Europe & Central Asia,High income,99.44796487802435,2.233703131347464,24276.7008996302,0.27179945403980765,0.7012497826354919,18.248151698289423,3.0,7.909856418024714,14994.60768687724,5862.28077464804,47.63333333333333,81.73463414634145,73.72713525663815,27.560000000000002,24.25142104057278,8150334.6,4.178958394244442,50712.17050078182,281302685000.7692,73.38042032738186,5546436.6,143.76232910156259,60.28321158757458,303945.07999999996,5919.666666666667,0.11575472168112175,0.18538619033486003,26.485124171920244,Élevé,Urbain,Mixte-Renouvelable,Moyenne,2019-2023,Maximale (5 ans),OUI,20.197152245345016,Élevée,0.8675363977003333
Helsinki,o3,48.72062807775579,50.24808,22.334873301614405,0.0,178.0328,37046,2019,2023,5,1,1360075.0,60.1708,24.9375,FIN,FI,Finland,Europe & Central Asia,High income,99.44796487802435,2.233703131347464,24276.7008996302,0.27179945403980765,0.7012497826354919,18.248151698289423,3.0,7.909856418024714,14994.60768687724,5862.28077464804,47.63333333333333,81.73463414634145,73.72713525663815,27.560000000000002,24.25142104057278,8150334.6,4.178958394244442,50712.17050078182,281302685000.7692,73.38042032738186,5546436.6,143.76232910156259,60.28321158757458,303945.07999999996,5919.666666666667,0.11575472168112175,0.18538619033486003,26.485124171920244,Élevé,Urbain,Mixte-Renouvelable,Moyenne,2019-2023,Maximale (5 ans),OUI,20.288061336254106,Élevée,0.45833337641321453
Helsinki,pm10,13.772579774946541,9.0050845,18.47935042074763,0.0,465.0648,48350,2019,2023,5,1,1360075.0,60.1708,24.9375,FIN,FI,Finland,Europe & Central Asia,High income,99.44796487802435,2.233703131347464,24276.7008996302,0.27179945403980765,0.7012497826354919,18.248151698289423,3.0,7.909856418024714,14994.60768687724,5862.28077464804,47.63333333333333,81.73463414634145,73.72713525663815,27.560000000000002,24.25142104057278,8150334.6,4.178958394244442,50712.17050078182,281302685000.7692,73.38042032738186,5546436.6,143.76232910156259,60.28321158757458,303945.07999999996,5919.666666666667,0.11575472168112175,0.18538619033486003,26.485124171920244,Élevé,Urbain,Mixte-Renouvelable,Moyenne,2019-2023,Maximale (5 ans),OUI,26.478641840087622,Élevée,1.3407758723326022
Helsinki,pm25,5.357047115524967,4.206391,4.158274066376171,0.0,100.2878,52371,2020,2023,4,1,1360075.0,60.1708,24.9375,FIN,FI,Finland,Europe & Central Asia,High income,99.44796279483657,2.2446859539046025,24229.606556758674,0.002314703195417017,0.710893063311091,18.26834939649385,3.0,6.9863736907756175,14866.217313293326,5821.68755185214,48.75,81.67256097560974,73.72622075210587,27.525,24.277624978803175,6535281.5,4.10862151793301,51300.66793163475,284874650968.60876,73.53974505026947,5552644.25,143.5496101379395,60.35168761605577,303948.85,5918.0,0.11354805612476553,0.1530384737887006,26.522310932707775,Élevé,Urbain,Mixte-Renouvelable,Moyenne,2019-2023,Maximale (5 ans),OUI,28.680722891566266,Élevée,0.7747787520530156
Ho Chi Minh City,pm25,130.54973918215106,21.0,217.36850451316042,0.0,985.0,34222,2019,2023,5,1,15136000.0,10.7756,106.7019,VNM,VN,Viet Nam,East Asia & Pacific,Lower middle income,90.42458992416098,12.15699871540134,1979.1166970481001,5.276185763752544,3.16485651357416,315.363869967361,81.862,46.34533688588338,2405.4810673625648,990.952341518861,21.166666666666668,74.5658,46.96116185802844,36.45,37.40046008665644,40708466.0,6.439599788277882,3830.036287909066,378951734770.4682,36.50527775539602,98844182.4,93.50703124035495,41.79743874068148,313429.0,2933.0,0.26838538367142173,2.213073282751187,49.55745880205778,Faible,Rural,Mixte-Fossile,Mégapole,2019-2023,Maximale (5 ans),OUI,18.741511500547645,Élevée,1.6648968960476989
Hong Kong,no2,70.62042282578236,68.55,34.35574030659807,0.1,366.1,56982,2019,2023,5,1,7450000.0,22.3,114.2,HKG,HK,"Hong Kong SAR, China",East Asia & Pacific,High income,95.19927375677,0.0675336280056834,29407.514355208503,-0.44454604262600006,0.22283684058041286,7101.75238095238,,42.0716907576351,6338.699665919815,1692.5200127902576,0.3,85.01863414634145,,,6.190978670636124,16447505.6,4.612243795725393,48725.4005857972,363338884913.9836,100.0,7456840.0,102.9662231863635,90.30946813722186,1050.0,230.1,0.0350933121547357,34.76816015270145,6.258512298641807,Élevé,Très urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,31.20591456736035,Élevée,0.48641561146165374
Hong Kong,o3,42.58664204950823,36.1,33.191316209726715,0.0,390.6,86257,2019,2023,5,1,7450000.0,22.3,114.2,HKG,HK,"Hong Kong SAR, China",East Asia & Pacific,High income,95.19927375677,0.0675336280056834,29407.514355208503,-0.44454604262600006,0.22283684058041286,7101.75238095238,,42.0716907576351,6338.699665919815,1692.5200127902576,0.3,85.01863414634145,,,6.190978670636124,16447505.6,4.612243795725393,48725.4005857972,363338884913.9836,100.0,7456840.0,102.9662231863635,90.30946813722186,1050.0,230.1,0.0350933121547357,34.76816015270145,6.258512298641807,Élevé,Très urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,47.23822562979189,Élevée,0.7792002987265966
Hong Kong,pm10,24.74103351672425,21.7,16.588518688732208,0.2,200.5,28828,2019,2023,5,1,7450000.0,22.3,114.2,HKG,HK,"Hong Kong SAR, China",East Asia & Pacific,High income,95.19927375677,0.0675336280056834,29407.514355208503,-0.44454604262600006,0.22283684058041286,7101.75238095238,,42.0716907576351,6338.699665919815,1692.5200127902576,0.3,85.01863414634145,,,6.190978670636124,16447505.6,4.612243795725393,48725.4005857972,363338884913.9836,100.0,7456840.0,102.9662231863635,90.30946813722186,1050.0,230.1,0.0350933121547357,34.76816015270145,6.258512298641807,Élevé,Très urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,15.787513691128149,Élevée,0.6702151923281652
Hong Kong,pm25,19.93132383603558,17.4,12.561642936838524,0.1,166.8,56480,2019,2023,5,1,7450000.0,22.3,114.2,HKG,HK,"Hong Kong SAR, China",East Asia & Pacific,High income,95.19927375677,0.0675336280056834,29407.514355208503,-0.44454604262600006,0.22283684058041286,7101.75238095238,,42.0716907576351,6338.699665919815,1692.5200127902576,0.3,85.01863414634145,,,6.190978670636124,16447505.6,4.612243795725393,48725.4005857972,363338884913.9836,100.0,7456840.0,102.9662231863635,90.30946813722186,1050.0,230.1,0.0350933121547357,34.76816015270145,6.258512298641807,Élevé,Très urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,30.930996714129243,Élevée,0.6299302413483011
Hong Kong,so2,3.9491858637492925,3.1,2.3935010394501646,0.0,31.1,28466,2019,2023,5,1,7450000.0,22.3,114.2,HKG,HK,"Hong Kong SAR, China",East Asia & Pacific,High income,95.19927375677,0.0675336280056834,29407.514355208503,-0.44454604262600006,0.22283684058041286,7101.75238095238,,42.0716907576351,6338.699665919815,1692.5200127902576,0.3,85.01863414634145,,,6.190978670636124,16447505.6,4.612243795725393,48725.4005857972,363338884913.9836,100.0,7456840.0,102.9662231863635,90.30946813722186,1050.0,230.1,0.0350933121547357,34.76816015270145,6.258512298641807,Élevé,Très urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,15.589266155531217,Élevée,0.604543742531843
Jeddah,pm25,25.324852824211607,22.25,14.792323151618675,0.0,242.0,8965,2020,2023,4,1,4697000.0,21.5428,39.1728,SAU,SA,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,97.5947761856238,2.519045563779245,11546.464584562826,3.8144969694942827,3.0519731060720723,14.910853192785925,23.38,0.0,11753.996351702,7388.787903862907,0.1,77.68175,0.454484134921779,,46.246721786684475,31839483.53475,9.070377313186327,32731.668013618924,1052067999999.9993,84.05231302944719,32053712.0,110.28334756344468,46.33774251108343,2149690.0,,0.24133758897675847,0.0,48.76576735046372,Moyen-Élevé,Urbain,Fossile,Moyenne,2019-2023,Maximale (5 ans),OUI,4.909638554216867,Moyenne,0.5838724722127528
Johannesburg,co,0.9637631095160984,0.836,0.7740666289279782,0.0,16.021,8287,2021,2023,3,0,7860781.0,-26.2044,28.0456,ZAF,ZA,South Africa,Sub-Saharan Africa ,Upper middle income,76.16649977830726,2.532939323209457,3839.109992786153,2.5742966061604835,1.5036791968964167,51.40959505615137,21.0,82.49168320340974,3390.07491031357,2000.4795271596633,9.7,64.53433333333332,13.995078683362332,,24.815532015833536,12303379.295,10.1428590858785,6465.75900446029,403007683978.1616,63.50314434192603,62364465.666666664,105.037283727216,62.579019484615095,1213090.0,20953.0,0.30962417827223865,7.772984857112132,27.348471339042987,Moyen-Faible,Semi-urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,4.538335158817087,Moyenne,0.7949229349144707
Johannesburg,no2,0.016536860137153036,0.014665,0.0112079724673664,0.0,0.175119,12117,2021,2023,3,0,7860781.0,-26.2044,28.0456,ZAF,ZA,South Africa,Sub-Saharan Africa ,Upper middle income,76.16649977830726,2.532939323209457,3839.109992786153,2.5742966061604835,1.5036791968964167,51.40959505615137,21.0,82.49168320340974,3390.07491031357,2000.4795271596633,9.7,64.53433333333332,13.995078683362332,,24.815532015833536,12303379.295,10.1428590858785,6465.75900446029,403007683978.1616,63.50314434192603,62364465.666666664,105.037283727216,62.579019484615095,1213090.0,20953.0,0.30962417827223865,7.772984857112132,27.348471339042987,Moyen-Faible,Semi-urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,6.635815991237678,Moyenne,0.42235488333733334
Johannesburg,o3,0.022823784867190434,0.017973,0.0186775104280185,0.0,0.105169,11515,2021,2023,3,0,7860781.0,-26.2044,28.0456,ZAF,ZA,South Africa,Sub-Saharan Africa ,Upper middle income,76.16649977830726,2.532939323209457,3839.109992786153,2.5742966061604835,1.5036791968964167,51.40959505615137,21.0,82.49168320340974,3390.07491031357,2000.4795271596633,9.7,64.53433333333332,13.995078683362332,,24.815532015833536,12303379.295,10.1428590858785,6465.75900446029,403007683978.1616,63.50314434192603,62364465.666666664,105.037283727216,62.579019484615095,1213090.0,20953.0,0.30962417827223865,7.772984857112132,27.348471339042987,Moyen-Faible,Semi-urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,6.306133625410734,Moyenne,0.5690236669412223
Johannesburg,pm10,49.73520707500165,42.492,27.339721212987758,2.035,409.151,10666,2021,2023,3,0,7860781.0,-26.2044,28.0456,ZAF,ZA,South Africa,Sub-Saharan Africa ,Upper middle income,76.16649977830726,2.532939323209457,3839.109992786153,2.5742966061604835,1.5036791968964167,51.40959505615137,21.0,82.49168320340974,3390.07491031357,2000.4795271596633,9.7,64.53433333333332,13.995078683362332,,24.815532015833536,12303379.295,10.1428590858785,6465.75900446029,403007683978.1616,63.50314434192603,62364465.666666664,105.037283727216,62.579019484615095,1213090.0,20953.0,0.30962417827223865,7.772984857112132,27.348471339042987,Moyen-Faible,Semi-urbain,Fossile,Grande,2019-2023,Maximale (5 ans),OUI,5.84118291347207,Moyenne,0.5495950830351801
